Datetime,Close,MACD_Crossover,YBR_Crossover,adx,macd,candle,Signal,Return
2023-02-19 20:00:00-05:00,4082.25,0,0,26.82341,-6.495009,NO_PATTERN,0,
2023-02-19 21:00:00-05:00,4086.0,0,0,25.013803,-5.394601,NO_PATTERN,0,
2023-02-19 22:00:00-05:00,4086.75,0,0,23.233057,-4.411152,CDLDOJI_Bull,0,
2023-02-19 23:00:00-05:00,4086.0,0,0,21.725305,-3.650203,CDLDOJI_Bull,0,
2023-02-21 00:00:00-05:00,4072.0,0,0,21.663378,-4.129229,NO_PATTERN,0,
2023-02-21 01:00:00-05:00,4071.75,0,0,21.542936,-4.477421,CDLDOJI_Bull,0,
2023-02-21 02:00:00-05:00,4064.25,0,0,21.960483,-5.297487,CDLBELTHOLD_Bear,0,
2023-02-21 03:00:00-05:00,4050.5,2,0,23.224539,-6.976484,CDLCLOSINGMARUBOZU_Bear,0,
2023-02-21 04:00:00-05:00,4064.25,2,0,24.067192,-7.115568,NO_PATTERN,0,
2023-02-21 05:00:00-05:00,4054.5,2,0,24.849655,-7.921225,CDLCLOSINGMARUBOZU_Bear,0,
2023-02-21 06:00:00-05:00,4061.0,0,0,25.781165,-7.94365,CDLCLOSINGMARUBOZU_Bull,0,
2023-02-21 07:00:00-05:00,4056.25,0,0,26.607264,-8.24961,NO_PATTERN,0,
2023-02-21 08:00:00-05:00,4048.75,0,0,27.692425,-8.9936,CDLBELTHOLD_Bear,0,
2023-02-21 09:00:00-05:00,4039.5,0,0,29.330016,-10.211899,NO_PATTERN,0,
2023-02-21 10:00:00-05:00,4027.75,0,0,31.335321,-11.987354,CDLCLOSINGMARUBOZU_Bear,0,
2023-02-21 11:00:00-05:00,4019.0,0,0,33.581235,-13.939778,NO_PATTERN,0,
2023-02-21 12:00:00-05:00,4023.25,0,0,35.719827,-14.971565,NO_PATTERN,0,
2023-02-21 13:00:00-05:00,4010.75,0,0,37.927813,-16.60648,CDLBELTHOLD_Bear,0,
2023-02-21 14:00:00-05:00,4011.0,0,0,40.192554,-17.678206,CDLDOJI_Bull,0,
2023-02-21 15:00:00-05:00,4006.25,0,0,42.130081,-18.695334,CDLENGULFING_Bear,0,
2023-02-21 16:00:00-05:00,4007.75,0,0,43.929213,-19.159518,NO_PATTERN,0,
2023-02-21 18:00:00-05:00,4010.25,0,0,45.627236,-19.105423,NO_PATTERN,0,
2023-02-21 19:00:00-05:00,4012.5,0,0,46.908609,-18.665828,NO_PATTERN,0,
2023-02-21 20:00:00-05:00,4012.75,0,0,47.698947,-18.088757,CDLDOJI_Bull,0,
2023-02-21 21:00:00-05:00,4015.75,0,0,48.228824,-17.19118,NO_PATTERN,0,
2023-02-21 22:00:00-05:00,4015.5,1,0,48.667181,-16.311982,CDLDOJI_Bull,0,
2023-02-21 23:00:00-05:00,4014.0,1,0,49.107885,-15.556919,NO_PATTERN,0,
2023-02-22 00:00:00-05:00,4012.75,1,0,49.587292,-14.887773,NO_PATTERN,0,
2023-02-22 01:00:00-05:00,4011.25,0,0,50.122248,-14.313511,NO_PATTERN,0,
2023-02-22 02:00:00-05:00,4011.75,0,0,50.157474,-13.660587,CDLHIGHWAVE_Bull,0,
2023-02-22 03:00:00-05:00,4005.75,0,0,50.902738,-13.471993,NO_PATTERN,0,
2023-02-22 04:00:00-05:00,4008.75,0,0,51.594768,-12.931391,NO_PATTERN,0,
2023-02-22 05:00:00-05:00,4006.75,0,0,52.237367,-12.520021,NO_PATTERN,0,
2023-02-22 06:00:00-05:00,4004.5,0,0,53.204157,-12.234531,CDLHIKKAKE_Bull,0,
2023-02-22 07:00:00-05:00,4016.5,0,0,51.404722,-10.914166,CDLHIKKAKE_Bull,0,
2023-02-22 08:00:00-05:00,4013.5,0,0,49.733819,-9.994631,CDLBELTHOLD_Bear,0,
2023-02-22 09:00:00-05:00,4011.0,0,0,48.559858,-9.359729,CDLSPINNINGTOP_Bear,0,
2023-02-22 10:00:00-05:00,4005.0,0,0,48.713394,-9.234267,CDLBELTHOLD_Bear,0,
